Combination,0,1,2,DC,TA,OP
1,6.3890399849327615,-0.3648134284223078,0.5380116287085679,open_reference,NCBI,no
2,-3.6752792726941115,-3.917432837490804,0.8161104694339915,open_reference,GG,no
3,3.610204411860452,-0.1181169101005005,-0.337961957984677,closed_reference,NCBI,no
4,-2.1541254993749854,-1.7352445282622122,-0.07031396660552698,closed_reference,GG,no
5,7.015653980905765,-0.20273721402591172,4.595186846308067,de_novo,NCBI,no
6,-3.4216485620478365,-4.5430774489394645,6.465293454630199,de_novo,GG,no
7,5.027012238677932,-0.35347087963630147,0.11230353819590881,dada2,NCBI,no
8,-2.8583751182144903,-3.5243463118143654,-0.46798541661288573,dada2,GG,no
9,4.68241862354427,-0.28865444211689606,-0.7797081496887472,deblur,NCBI,no
10,-2.583207932871081,-2.9232168512798093,-1.0792325153910052,deblur,GG,no
11,-2.87300229745791,4.882954163453931,-0.00794298399590154,open_reference,SILVA,no
12,-1.9112722399281659,3.8701605920453903,-0.43306531194363096,closed_reference,SILVA,no
13,-3.14017992101699,5.997420166294576,6.582779145942043,de_novo,SILVA,no
14,-2.1008007113917646,3.2417297804848615,-0.6305864185685508,dada2,SILVA,no
15,-1.8517927203903881,2.700821905198612,-1.3770024229772369,deblur,SILVA,no
16,3.975980071550947,-0.2364554542299369,-0.8841101746952521,open_reference,NCBI,yes
17,-2.535321898638931,-2.9846135520362043,-1.0458182431806615,open_reference,GG,yes
18,2.7253958938378178,-0.0427186953246445,-1.0883412069265088,closed_reference,NCBI,yes
19,-1.5622806262602782,-1.4632524726543021,-1.1809725482433402,closed_reference,GG,yes
20,3.929705795164317,-0.09857391278110372,1.0328221674251032,de_novo,NCBI,yes
21,-2.411898393702973,-3.1450685177331934,1.4987111150841124,de_novo,GG,yes
22,3.3104868787141712,-0.21776062401418642,-0.8857645820646554,dada2,NCBI,yes
23,-1.8778858385776949,-2.741304257367373,-1.4529194619474795,dada2,GG,yes
24,2.979716261428305,-0.1473420015985642,-1.4931619108625356,deblur,NCBI,yes
25,-1.6084814182885394,-2.2761887908803065,-1.9353221068699642,deblur,GG,yes
26,-1.7869807741276105,2.4766930376926104,-1.6603638204136884,open_reference,SILVA,yes
27,-1.2323409465756028,2.469890085578136,-1.439460091723728,closed_reference,SILVA,yes
28,-1.7134459108160711,2.570289454355184,0.32937624561692785,de_novo,SILVA,yes
29,-1.2861657320641042,1.74468925625928,-1.678274071827616,dada2,SILVA,yes
30,-1.061128326177203,1.3697406893457966,-2.0422872488213435,deblur,SILVA,yes
