method1,method2,sample,unifrac
closed_reference,deblur,sample1,0.01337361799945882
deblur,closed_reference,sample1,0.01337361799945882
closed_reference,closed_reference,sample1,
deblur,deblur,sample1,
deblur,input,sample1,0.2546322848271856
input,deblur,sample1,0.2546322848271856
deblur,deblur,sample1,
input,input,sample1,
de_novo,input,sample1,0.422646627538089
input,de_novo,sample1,0.422646627538089
de_novo,de_novo,sample1,
input,input,sample1,
closed_reference,open_reference,sample1,0.00011420917903146041
open_reference,closed_reference,sample1,0.00011420917903146041
closed_reference,closed_reference,sample1,
open_reference,open_reference,sample1,
open_reference,dada2,sample1,0.0032047370062177312
dada2,open_reference,sample1,0.0032047370062177312
open_reference,open_reference,sample1,
dada2,dada2,sample1,
closed_reference,input,sample1,0.380351004208782
input,closed_reference,sample1,0.380351004208782
closed_reference,closed_reference,sample1,
input,input,sample1,
de_novo,closed_reference,sample1,0.00041446156312492037
closed_reference,de_novo,sample1,0.00041446156312492037
de_novo,de_novo,sample1,
closed_reference,closed_reference,sample1,
open_reference,input,sample1,0.433637232561113
input,open_reference,sample1,0.433637232561113
open_reference,open_reference,sample1,
input,input,sample1,
open_reference,deblur,sample1,0.012477332308998728
deblur,open_reference,sample1,0.012477332308998728
open_reference,open_reference,sample1,
deblur,deblur,sample1,
de_novo,deblur,sample1,0.005287609972087774
deblur,de_novo,sample1,0.005287609972087774
de_novo,de_novo,sample1,
deblur,deblur,sample1,
dada2,deblur,sample1,0.01646034413511372
deblur,dada2,sample1,0.01646034413511372
dada2,dada2,sample1,
deblur,deblur,sample1,
de_novo,dada2,sample1,0.003635818195983039
dada2,de_novo,sample1,0.003635818195983039
de_novo,de_novo,sample1,
dada2,dada2,sample1,
dada2,input,sample1,0.6083409451724306
input,dada2,sample1,0.6083409451724306
dada2,dada2,sample1,
input,input,sample1,
closed_reference,dada2,sample1,0.003228457941829863
dada2,closed_reference,sample1,0.003228457941829863
closed_reference,closed_reference,sample1,
dada2,dada2,sample1,
de_novo,open_reference,sample1,0.00035920935554448826
open_reference,de_novo,sample1,0.00035920935554448826
de_novo,de_novo,sample1,
open_reference,open_reference,sample1,
